Details
User's screen resolution:,2560x1440
Base video resolution:,1920x1080
Base video frame rate (fps):,30
Delta video resolution:,1920x1080
Delta video frame rate (fps):,30
Delta video frame rate (fps):,30
Base video starting frame:,0
Delta video starting frame:,62
Set threshold:,50
Set minimum contour area:,100
Set duration threshold (in seconds):,1
Output image (or video) resolution:,1365x453



Timestamp,Duration
0.67,1.60
1.07,1.20
0.67,2.30
0.93,2.03
1.57,1.40
1.70,1.27
3.00,1.03
3.17,1.67
