Details
User's screen resolution:,2560x1440
Base video resolution:,1920x1080
Base video frame rate (fps):,30
Delta video resolution:,1920x1080
Delta video frame rate (fps):,30
Delta video frame rate (fps):,30
Base video starting frame:,0
Delta video starting frame:,0
Set threshold:,50
Set minimum contour area:,100
Set duration threshold (in seconds):,1
Output image (or video) resolution:,1365x453



Timestamp,Duration
0.00,1.10
0.00,1.23
0.17,1.07
0.00,1.27
0.00,1.37
0.00,1.37
0.07,1.30
0.10,1.27
0.00,1.70
0.50,1.20
0.00,1.90
0.00,1.90
0.03,1.87
0.30,1.60
0.50,1.40
0.57,1.33
0.73,1.17
0.80,1.10
0.07,2.00
1.30,1.20
2.10,1.20
2.23,1.33
2.20,1.43
2.03,1.67
2.30,1.40
2.50,1.20
2.50,1.50
2.97,1.03
0.00,4.50
1.77,2.83
2.53,2.07
3.50,1.10
3.00,1.80
3.47,1.37
3.53,1.30
0.00,5.17
0.23,4.97
0.37,4.83
0.43,4.77
0.50,4.70
0.63,4.57
0.70,4.50
1.27,3.93
1.43,3.77
1.50,3.70
1.80,3.40
1.90,3.30
2.30,2.90
2.47,2.73
2.70,2.50
3.23,1.97
3.40,1.80
3.57,1.63
3.60,1.60
3.67,1.53
3.70,1.50
3.80,1.40
3.40,1.90
3.43,1.87
4.10,1.27
3.40,2.00
3.43,1.97
3.70,1.73
3.80,1.63
4.13,1.30
4.40,1.03
1.40,4.07
2.90,2.57
3.63,1.83
3.73,1.73
4.43,1.07
5.50,1.13
5.60,1.03
5.37,1.33
5.43,1.67
6.07,1.03
6.40,1.30
5.40,2.83
5.40,2.83
6.00,2.23
6.20,2.03
6.43,1.80
6.57,1.67
6.63,1.60
7.03,1.20
7.07,1.17
