Details
Input video 1 resolution:,940x1080



Timestamp,Duration
Input video 1 frame rate (fps):,30
Input video 2 resolution:,940x1080
Input video 2 frame rate (fps):,30
Set threshold:,35
Set minimum contour area:,80
Set duration threshold (in seconds):,1
Output video resolution:,1364x866
Base video starting frame:,0
Alternative video starting frame:,80
18.83,3.50
18.90,3.43
20.73,1.60
20.73,1.60
20.83,1.50
20.83,1.50
22.33,2.33
20.73,4.00
22.33,2.40
22.33,2.40
22.33,2.40
22.37,2.37
4.00,20.73
6.40,18.33
6.40,18.33
6.40,18.33
6.40,18.33
6.40,18.33
6.40,18.33
6.40,18.33
6.40,18.33
6.40,18.33
