Details
Base video resolution:,940x1080
Base video frame rate (fps):,30
Delta video resolution:,940x1080
Delta video frame rate (fps):,30
Delta video frame rate (fps):,30
Base video starting frame:,0
Delta video starting frame:,80
Set threshold:,35
Set minimum contour area:,80
Set duration threshold (in seconds):,1
Output image (or video) resolution:,1364x866



Timestamp,Duration
18.83,3.50
18.90,3.43
20.73,1.60
20.73,1.60
20.83,1.50
20.83,1.50
22.33,2.33
20.73,4.00
22.33,2.40
22.33,2.40
22.33,2.40
22.37,2.37
22.33,2.67
25.00,1.73
24.73,5.93
24.77,5.90
24.83,5.83
6.43,24.27
6.50,24.20
12.33,18.37
12.33,18.37
12.33,18.37
12.37,18.33
