Timestamp,Duration
User's screen resolution:,2560x1440
Base video resolution:,312x360
Base video frame rate (fps):,30
Delta video resolution:,312x360
Delta video frame rate (fps):,30
Delta video frame rate (fps):,30
Base video starting frame:,2
Delta video starting frame:,0
Set threshold:,15
Set minimum contour area:,30
Set duration threshold (in seconds):,1
Output image (or video) resolution:,1362x871
24.00,5.60
43.30,4.30
34.60,19.00
24.97,46.33
25.00,46.30
25.03,46.27
25.03,46.27
25.03,46.27
25.03,46.27
25.03,46.27
25.03,46.27
25.03,46.27
